nm,E891,ISO9050,ASTM_G173_global,ASTM_G173_direct
250,0.0,0.0,0.0,0.0
255,0.0,0.0,0.0,0.0
260,0.0,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0
270,0.0,0.0,0.0,0.0
275,0.0,0.0,0.0,0.0
280,0.0,0.0,2.3788610308813874e-25,1.4193035322156657e-28
285,0.0,0.0,4.029818443359533e-17,5.036649946466838e-19
290,0.0,0.0,3.025456266377884e-11,2.8795727276773336e-12
295,0.0,0.0,6.179839368731584e-08,1.8046158156155658e-08
300,0.0,0.0,5.13142886557411e-06,2.553694234396634e-06
305,2.2461521102136635e-05,5.702741593020848e-05,8.278168879367621e-05,4.9996017646787874e-05
310,0.00010305874388039161,0.00023611351157068773,0.0002561390053733264,0.00015572548435563706
315,0.00027152015214641637,0.0005542664636023772,0.0006851123791616585,0.00041237648387225877
320,0.0004703706771976849,0.0009164405788082625,0.0010321689399670727,0.0006311062628759144
325,0.0006619542395394385,0.0013096296044323317,0.0014026073177493801,0.00086766617891533
330,0.001006804651754595,0.0019149205980775266,0.0023703128397285444,0.0014658096335236274
335,0.001027944906909547,0.0020189706201256263,0.002332549948223928,0.001481759379459571
340,0.0011851755546245038,0.002190052867916252,0.00252322489440969,0.0016598368937338604
345,0.001233401761696738,0.002261087017583704,0.0023079110443127927,0.001558821836139551
350,0.0014005419040155785,0.0024461759991115744,0.0026548670381634676,0.0018419438175077563
355,0.0014946821027524747,0.0025562289070470644,0.0030743318063811967,0.0021904317752029162
360,0.0015888223014893707,0.0026842904726447256,0.0030078067658211322,0.0021960281772857035
365,0.001864636567964137,0.0030214525633198174,0.0031356273652948154,0.0023398557108133353
370,0.002140450834438903,0.003360615615957373,0.003796754525751145,0.002891437100092843
375,0.0022672923653686157,0.0035106877631421326,0.0029632053213942415,0.0022993937237547834
380,0.002394133896298328,0.0036017315324342195,0.003523715243633875,0.0027842660002074674
385,0.002457884978249981,0.003530697382766767,0.003386843618233652,0.0027219780450260457
390,0.0025216360602016335,0.0035527079643538646,0.004007542862884772,0.003271488765534923
395,0.003097377696687283,0.004296065333409039,0.00406149703410242,0.0033632137956718052
400,0.0036731193331729322,0.005210504950254838,0.005602082213754156,0.004700362145312154
405,0.004004426769429447,0.005516151890021131,0.005788131080021909,0.00491638326570774
410,0.004335734205685962,0.005821798829787424,0.005272222602209166,0.0045280489251831365
415,0.004449693393630627,0.00588157756841602,0.0061637486559732915,0.005348425506498914
420,0.00456365258157529,0.005941356307044615,0.005647840178160549,0.004950969030579366
425,0.004402127819531984,0.005808792577031411,0.006279400653923516,0.00555789883645764
430,0.004240603057488678,0.0056762288470182075,0.004397893497705466,0.003924980636741986
435,0.004757878675811413,0.00615120719285797,0.006261298602070438,0.005635576897366725
440,0.005275154294134148,0.006626185538697733,0.00678776661013081,0.006152124809607986
445,0.005797384659758825,0.007150687693108467,0.007350941556671035,0.00671120537767843
450,0.0063196150253835015,0.007675189847519199,0.007841708295798947,0.007208725522838212
455,0.0064299407319734075,0.007881038809407628,0.0076551565947574965,0.007082246835767221
460,0.0065402664385633144,0.008086887771296056,0.00768884652459517,0.007158357904093127
465,0.0065666917575070045,0.00808988921423975,0.007718513776243272,0.007222156887836902
470,0.006593117076450695,0.008092890657183447,0.007581239883024092,0.00713485301534542
475,0.006751999306599632,0.008148917592132422,0.00813838081227996,0.007697851064873815
480,0.006910881536748568,0.0082049445270814,0.008136369473185173,0.007737025879453326
485,0.006775451777162156,0.008052871417934176,0.00788595775588425,0.0075310782828067555
490,0.0066400220175757444,0.007900798308786953,0.008157991368454126,0.007817054429237183
495,0.006711370378723708,0.007902549150504107,0.008289231244388948,0.007968157285472437
